het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,pka_overrides,method
A1CP0,c1cc(cc2c1cc([nH]2)C(=O)NCC(=O)N)Cl,NC(=O)CNC(=O)c1cc2ccc(Cl)cc2[nH]1,7.4,5,3.88;6.67;8.38;9.32;10.59,,pkasolver
A1CP1,CN1C(=O)c2c(c3ccc(cc3[nH]2)Br)C=N1,Cn1ncc2c([nH]c3cc(Br)ccc32)c1=O,7.4,3,2.98;5.84;9.55,,pkasolver
A1CP2,CC(C)c1ccc2cc([nH]c2c1)C(=O)NCCNC(=O)c3ccco3,CC(C)c1ccc2cc(C(=O)NCCNC(=O)c3ccco3)[nH]c2c1,7.4,6,4.78;4.93;4.98;9.29;9.69;10.79,,pkasolver
A1CP3,COc1ccc2cc([nH]c2c1)C(=O)N3CC[C@@H](C3)n4cnc5c4cccc5,COc1ccc2cc(C(=O)N3CC[C@H](n4cnc5ccccc54)C3)[nH]c2c1,7.4,4,3.89;4.36;5.16;10.15,,pkasolver
A1CP4,c1ccnc(c1)c2ccn(n2)CCNC(=O)Nc3ccc(cc3)F,O=C(NCCn1ccc(-c2ccccn2)n1)Nc1ccc(F)cc1,7.4,5,3.47;4.19;5.35;9.94;10.19,,pkasolver
A1CP5,c1cc2c(cc1Cl)NC(=O)S2,O=c1[nH]c2cc(Cl)ccc2s1,7.4,2,4.34;8.94,,pkasolver
A1CP6,Cc1cccc(c1)NC(=O)OC,COC(=O)Nc1cccc(C)c1,7.4,2,4.70;10.61,,pkasolver
A1CP7,c1cc(ncc1Cl)SC[C@H](CO)O,OC[C@H](O)CSc1ccc(Cl)cn1,7.4,3,3.22;11.46;11.48,,pkasolver
A1CP8,c1cc(ccc1NC(=O)N)OC(F)(F)F,NC(=O)Nc1ccc(OC(F)(F)F)cc1,7.4,4,4.40;6.73;9.17;10.31,,pkasolver
A1CP9,CS(=O)(=O)NCCNC(=O)c1ccc(cc1)C(F)(F)F,CS(=O)(=O)NCCNC(=O)c1ccc(C(F)(F)F)cc1,7.4,4,4.21;5.96;8.09;9.12,,pkasolver
A1CPA,c1cc(ccc1C(=O)NO)Cl,O=C(NO)c1ccc(Cl)cc1,7.4,1,8.52,,pkasolver
