family,ligand_id,x,y,z,dx,dy,dz
Acceptor,MCULE-4880777263,5.886,2.745,-1.238,0.152,0.823,-0.547
Acceptor,MCULE-4880777263,5.256,-0.66,1.032,-0.15,-0.825,0.545
PosIonizable,MCULE-4880777263,-2.451,0.179,0.54,,,
Aromatic,MCULE-4880777263,3.084,0.617,-0.115,0.099,-0.565,-0.819
Aromatic,MCULE-4880777263,5.463,0.479,0.273,-0.103,0.566,0.818
LumpedHydrophobe,MCULE-4880777263,3.084,0.617,-0.115,,,
LumpedHydrophobe,MCULE-4880777263,0.228,2.519,-0.908,,,
Donor,Z1912578086,-2.205,-1.146,0.756,,,
Donor,Z1912578086,5.485,3.025,-1.299,0.678,-0.706,-0.203
Acceptor,Z1912578086,-5.87,-1.869,0.27,-0.559,0.467,-0.685
Acceptor,Z1912578086,-3.255,-2.844,-0.368,0.067,-0.812,-0.58
Acceptor,Z1912578086,5.485,3.025,-1.299,0.679,0.483,-0.553
Acceptor,Z1912578086,5.854,0.426,-0.752,0.654,0.524,-0.545
PosIonizable,Z1912578086,0.216,0.517,1.259,,,
Aromatic,Z1912578086,3.61,1.713,0.222,0.502,0.244,0.83
Aromatic,Z1912578086,4.942,-0.296,0.007,0.5,0.242,0.831
LumpedHydrophobe,Z1912578086,3.61,1.713,0.222,,,
Donor,MCULE-4554608817,2.082,-0.938,1.892,-0.865,0.459,-0.203
Donor,MCULE-4554608817,6.098,3.086,-0.773,-0.076,-0.84,-0.538
Acceptor,MCULE-4554608817,2.082,-0.938,1.892,-0.734,-0.637,0.236
Acceptor,MCULE-4554608817,4.808,-1.661,2.061,0.246,-0.923,0.295
Acceptor,MCULE-4554608817,3.918,2.079,0.826,-0.202,0.928,-0.315
Acceptor,MCULE-4554608817,6.098,3.086,-0.773,-0.106,0.266,-0.958
PosIonizable,MCULE-4554608817,0.415,0.884,0.786,,,
PosIonizable,MCULE-4554608817,-1.832,-0.67,0.283,,,
Donor,STL032978,5.924,3.145,-1.102,0.323,-0.688,-0.65
Donor,STL032978,-3.915,-3.225,-0.652,0.939,0.191,0.287
Acceptor,STL032978,5.924,3.145,-1.102,0.738,0.388,-0.552
Acceptor,STL032978,2.784,3.605,2.471,0.312,0.941,0.128
Acceptor,STL032978,1.371,3.788,4.26,-0.37,0.543,0.753
Acceptor,STL032978,-3.915,-3.225,-0.652,0.428,-0.9,0.078
PosIonizable,STL032978,0.022,-0.581,1.116,,,
PosIonizable,STL032978,-2.259,-0.952,-0.452,,,
Aromatic,STL032978,3.897,2.066,0.431,0.682,-0.334,0.651
LumpedHydrophobe,STL032978,3.897,2.066,0.431,,,
Donor,MCULE-8317582243,-0.7,-2.09,0.768,,,
Acceptor,MCULE-8317582243,-0.059,1.188,1.434,-0.506,-0.34,0.792
Acceptor,MCULE-8317582243,-2.386,-3.409,-0.093,-0.694,-0.155,-0.703
Acceptor,MCULE-8317582243,5.63,3.225,-0.832,0.712,-0.532,-0.458
