het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,guard_neutralized,method
NIB,c1cc(ccc1NC2(CCOCC2)C(=O)NC3CC4(C3)CCN(CC4)C(=O)CCl)Cl,O=C(CCl)N1CCC2(CC1)CC(NC(=O)C1(Nc3ccc(Cl)cc3)CCOCC1)C2,7.4,5,3.94;4.90;6.88;9.05;10.02,,pkasolver
NJ3,C[C@@H]1CC(C[C@@H](O1)C)(C(=O)N2CCC3(CCN(CC3)C(=O)CCl)CC2)Nc4ccc(cc4)Cl,C[C@@H]1CC(Nc2ccc(Cl)cc2)(C(=O)N2CCC3(CCN(C(=O)CCl)CC3)CC2)C[C@H](C)O1,7.4,4,4.24;6.47;6.98;9.61,,pkasolver
NJC,C[C@@H]1CC(C[C@@H](O1)C)(C(=O)NCC2CC3(C2)CCN(CC3)C(=O)CCl)Nc4ccc(cc4)Cl,C[C@@H]1CC(Nc2ccc(Cl)cc2)(C(=O)NCC2CC3(CCN(C(=O)CCl)CC3)C2)C[C@H](C)O1,7.4,5,4.21;5.01;7.12;9.14;9.99,,pkasolver
NJI,c1cc(ccc1NC2(CCOCC2)C(=O)N3CCC4(CC3)CN(C4)C(=O)CCl)Cl,O=C(CCl)N1CC2(CCN(C(=O)C3(Nc4ccc(Cl)cc4)CCOCC3)CC2)C1,7.4,4,3.68;5.97;6.62;9.69,,pkasolver
NJR,CC(C)(C(=O)N1CCC(CC1)CNC(=O)CCl)Nc2ccc(cc2)Cl,CC(C)(Nc1ccc(Cl)cc1)C(=O)N1CCC(CNC(=O)CCl)CC1,7.4,5,4.28;7.24;7.66;9.11;10.18,,pkasolver
NJW,c1ccc(cc1)/C(=C/2\[C@H](N(C(=O)C2=O)c3ccc(c(c3)C(=O)O)O)c4ccc(cc4)[N+](=O)[O-])/N,N/C(=C1\C(=O)C(=O)N(c2ccc(O)c(C(=O)[O-])c2)[C@@H]1c1ccc([N+](=O)[O-])cc1)c1ccccc1,7.4,4,2.80;2.96;3.52;10.00,phenol:1,pkasolver+weak_acid_guard
NK6,c1cc(ccc1NC2(CCC(CC2)N)C(=O)N3CCC(CC3)CNC(=O)CCl)Cl,[NH3+]C1CCC(Nc2ccc(Cl)cc2)(C(=O)[NH+]2CCC(C[NH2+]C(=O)CCl)CC2)CC1,7.4,6,4.68;7.42;7.96;8.97;9.11;10.13,,pkasolver
NKL,c1cc(ccc1NC2(CCOCC2)C(=O)N3CC4(C3)CCN(CC4)C(=O)CCl)Cl,O=C(CCl)N1CCC2(CC1)CN(C(=O)C1(Nc3ccc(Cl)cc3)CCOCC1)C2,7.4,4,3.75;6.47;6.77;9.75,,pkasolver
NQ0,c1cc(ccc1NC2(CC2)C(=O)N3CCC(CC3)CNC(=O)CCl)Cl,O=C(CCl)NCC1CCN(C(=O)C2(Nc3ccc(Cl)cc3)CC2)CC1,7.4,5,3.95;6.74;7.54;8.97;10.26,,pkasolver
NQ9,c1cc(ccc1OC2(CCC(CC2)N)C(=O)N3CCC(CC3)CNC(=O)CCl)Cl,[NH3+]C1CCC(Oc2ccc(Cl)cc2)(C(=O)N2CCC(CNC(=O)CCl)CC2)CC1,7.4,4,7.21;7.80;8.92;9.11,,pkasolver
NQL,c1ccc(cc1)NC2(CCNCC2)C(=O)N3CCC(CC3)CNC(=O)CCl,O=C(CCl)NCC1CCN(C(=O)C2(Nc3ccccc3)CC[NH2+]CC2)CC1,7.4,6,4.38;7.20;7.69;8.69;9.12;10.19,,pkasolver
NQU,c1cc(ccc1OC2(CCCCC2)C(=O)N3CCC(CC3)CNC(=O)CCl)Cl,O=C(CCl)NCC1CCN(C(=O)C2(Oc3ccc(Cl)cc3)CCCCC2)CC1,7.4,3,6.90;7.52;8.98,,pkasolver
NR6,c1cc(ccc1OC2(CC2)C(=O)N3CCC(CC3)CNC(=O)CCl)Cl,O=C(CCl)NCC1CC[NH+](C(=O)C2(Oc3ccc(Cl)cc3)CC2)CC1,7.4,3,6.50;7.38;8.98,,pkasolver
NUO,c1ccc(cc1)NC2(CCC2)C(=O)N3CCC(CC3)CNC(=O)CCl,O=C(CCl)NCC1CCN(C(=O)C2(Nc3ccccc3)CCC2)CC1,7.4,5,4.29;7.09;7.67;9.04;10.46,,pkasolver
