family,ligand_id,x,y,z,dx,dy,dz
Aromatic,C700-0425,-1.529,-2.801,-1.963,0.068,-0.939,0.338
Aromatic,C700-0425,-3.208,1.779,0.455,0.411,0.095,-0.907
Aromatic,C700-0425,3.734,-0.331,1.852,-0.599,-0.768,0.227
LumpedHydrophobe,C700-0425,-1.529,-2.801,-1.963,,,
LumpedHydrophobe,C700-0425,-3.208,1.779,0.455,,,
LumpedHydrophobe,C700-0425,3.734,-0.331,1.852,,,
Donor,K783-4298,1.506,1.068,1.142,-0.085,0.996,-0.013
Donor,K783-4298,3.261,2.987,1.814,-0.371,-0.001,0.929
Acceptor,K783-4298,-4.448,0.037,-3.065,0.039,-0.558,-0.829
Acceptor,K783-4298,-4.367,2.286,-1.925,0.094,0.995,-0.041
Acceptor,K783-4298,0.329,-0.931,1.102,-0.036,-0.997,0.062
Acceptor,K783-4298,4.251,-3.322,0.888,-0.634,-0.734,-0.242
Acceptor,K783-4298,6.362,-2.563,1.377,0.552,0.799,0.24
Aromatic,K783-4298,-7.212,0.138,-0.384,-0.492,0.025,-0.87
Aromatic,K783-4298,4.19,0.331,1.496,0.165,0.141,-0.976
LumpedHydrophobe,K783-4298,-7.212,0.138,-0.384,,,
LumpedHydrophobe,K783-4298,4.19,0.331,1.496,,,
Donor,Z16435552,-5.655,0.703,-1.407,-0.786,0.186,0.59
Donor,Z16435552,2.425,3.585,1.837,-0.423,-0.852,0.308
Acceptor,Z16435552,-5.785,3.154,-1.842,-0.641,0.761,0.104
Acceptor,Z16435552,-4.248,1.709,-3.259,0.42,-0.236,-0.876
Acceptor,Z16435552,-0.598,2.976,2.047,0.846,-0.442,0.298
Acceptor,Z16435552,2.084,5.895,1.925,0.103,0.916,-0.388
Acceptor,Z16435552,4.124,2.593,-1.167,0.225,-0.67,-0.707
PosIonizable,Z16435552,-1.614,3.506,1.727,,,
Aromatic,Z16435552,-1.614,3.506,1.727,-0.489,-0.565,0.664
Aromatic,Z16435552,3.77,3.394,-0.357,0.898,0.023,0.44
Aromatic,Z16435552,-2.509,2.449,0.107,0.477,0.602,-0.64
Aromatic,Z16435552,3.857,-0.266,1.144,0.996,0.091,0.016
LumpedHydrophobe,Z16435552,3.857,-0.266,1.144,,,
LumpedHydrophobe,Z16435552,4.821,4.57,-2.504,,,
Donor,V027-4235,1.441,1.865,1.998,0.281,0.953,0.109
Donor,V027-4235,6.046,-0.636,-1.827,-0.756,0.346,-0.555
Acceptor,V027-4235,-0.288,-0.553,2.252,0.388,-0.919,0.078
Acceptor,V027-4235,1.351,3.516,4.052,0.489,0.854,-0.177
Acceptor,V027-4235,6.423,-1.739,0.151,0.524,-0.664,0.533
Acceptor,V027-4235,4.96,-3.392,-6.906,-0.154,-0.291,-0.944
PosIonizable,V027-4235,5.394,-2.499,-4.071,,,
Aromatic,V027-4235,-1.815,0.125,0.028,-0.606,-0.774,0.184
Aromatic,V027-4235,0.135,3.622,7.886,-0.676,0.632,-0.378
Aromatic,V027-4235,3.569,0.464,0.76,-0.657,-0.495,-0.569
LumpedHydrophobe,V027-4235,-1.815,0.125,0.028,,,
LumpedHydrophobe,V027-4235,0.135,3.622,7.886,,,
LumpedHydrophobe,V027-4235,3.569,0.464,0.76,,,
Donor,Z26543951,1.233,0.951,0.993,-0.244,0.934,-0.262
Acceptor,Z26543951,4.24,-3.294,1.363,-0.677,-0.68,-0.281
Acceptor,Z26543951,6.554,-2.315,1.204,0.92,-0.003,-0.391
Acceptor,Z26543951,0.312,-0.983,1.906,0.083,-0.872,0.483
Acceptor,Z26543951,-4.076,3.626,-1.689,-0.833,0.529,0.162
Acceptor,Z26543951,-1.599,3.513,-2.159,0.878,0.451,-0.162
Aromatic,Z26543951,4.015,0.573,1.229,-0.058,0.181,0.982
Aromatic,Z26543951,-2.44,1.01,0.617,-0.155,-0.821,-0.55
LumpedHydrophobe,Z26543951,4.015,0.573,1.229,,,
LumpedHydrophobe,Z26543951,-2.44,1.01,0.617,,,
Donor,Z26534315,1.212,1.113,0.933,-0.14,0.984,-0.11
Acceptor,Z26534315,4.067,-3.289,1.243,-0.648,-0.637,-0.418
Acceptor,Z26534315,6.404,-2.38,1.466,0.965,-0.009,-0.263
Acceptor,Z26534315,3.788,5.918,0.055,0.2,0.957,-0.212
Acceptor,Z26534315,0.14,-0.886,1.37,0.024,-0.961,0.276
Acceptor,Z26534315,-2.743,2.383,-0.105,-0.441,0.76,-0.478
Aromatic,Z26534315,-2.211,1.497,0.5,-0.16,-0.639,-0.753
Aromatic,Z26534315,3.941,0.571,1.318,-0.127,0.137,0.982
Aromatic,Z26534315,-6.178,-0.411,-0.702,-0.828,0.557,0.063
LumpedHydrophobe,Z26534315,3.941,0.571,1.318,,,
LumpedHydrophobe,Z26534315,-6.178,-0.411,-0.702,,,
Donor,STK071041,0.829,0.866,0.833,-0.287,0.847,-0.448
Acceptor,STK071041,-5.238,4.877,0.629,0.11,0.666,0.738
Acceptor,STK071041,-4.273,3.575,-1.29,0.776,-0.232,-0.586
Acceptor,STK071041,0.112,-1.093,1.869,0.177,-0.918,0.356
Acceptor,STK071041,6.894,-1.6,0.742,0.999,-0.029,-0.029
Acceptor,STK071041,8.399,0.103,-0.543,0.303,-0.904,0.302
Aromatic,STK071041,-6.926,0.381,-1.447,0.266,-0.646,0.715
Aromatic,STK071041,-2.801,1.066,1.535,0.029,0.144,-0.989
Aromatic,STK071041,5.707,0.703,-0.255,0.199,0.472,0.859
LumpedHydrophobe,STK071041,-6.926,0.381,-1.447,,,
LumpedHydrophobe,STK071041,-2.801,1.066,1.535,,,
LumpedHydrophobe,STK071041,5.707,0.703,-0.255,,,
Donor,STK219929,1.396,0.986,0.741,-0.099,0.977,-0.188
Donor,STK219929,3.263,5.896,1.085,,,
Acceptor,STK219929,-4.581,2.905,-0.239,0.049,0.668,-0.743
