family,ligand_id,x,y,z,dx,dy,dz
Acceptor,Z5020305635,-2.597,-2.849,-0.44,-0.023,-0.851,0.525
Acceptor,Z5020305635,5.367,0.84,0.086,0.997,0.073,-0.009
Aromatic,Z5020305635,-3.556,-0.667,0.613,0.04,-0.41,0.911
Aromatic,Z5020305635,0.551,-0.507,0.613,-0.026,0.438,0.899
Aromatic,Z5020305635,2.619,0.677,0.092,-0.024,0.439,0.898
LumpedHydrophobe,Z5020305635,0.551,-0.507,0.613,,,
LumpedHydrophobe,Z5020305635,2.619,0.677,0.092,,,
LumpedHydrophobe,Z5020305635,-3.556,-0.667,0.613,,,
Donor,Z4224787393,-3.865,-4.274,-0.425,0.584,0.445,0.678
Donor,Z4224787393,5.929,1.044,-0.027,0.478,-0.296,0.827
Acceptor,Z4224787393,-3.865,-4.274,-0.425,-0.558,0.129,0.82
Acceptor,Z4224787393,-1.854,-0.641,-3.179,0.267,0.877,-0.4
Acceptor,Z4224787393,5.929,1.044,-0.027,0.983,0.108,-0.149
Aromatic,Z4224787393,-2.237,-1.87,-2.644,-0.66,0.46,0.594
Aromatic,Z4224787393,3.21,0.767,0.331,0.053,-0.941,-0.335
LumpedHydrophobe,Z4224787393,3.21,0.767,0.331,,,
Donor,Z5020306225,5.707,0.823,-0.068,0.375,0.221,0.9
Acceptor,Z5020306225,-3.5,-3.087,-0.267,-0.27,-0.942,0.201
Acceptor,Z5020306225,5.707,0.823,-0.068,0.959,0.262,-0.108
Aromatic,Z5020306225,-3.136,-1.769,-0.547,0.023,0.202,0.979
Aromatic,Z5020306225,0.986,-0.641,-0.865,-0.276,0.953,-0.122
Aromatic,Z5020306225,3.064,0.093,0.182,0.275,-0.954,0.123
LumpedHydrophobe,Z5020306225,0.986,-0.641,-0.865,,,
LumpedHydrophobe,Z5020306225,3.064,0.093,0.182,,,
Donor,Z56857923,5.667,0.66,-0.067,0.46,0.405,0.79
Acceptor,Z56857923,5.667,0.66,-0.067,0.985,0.003,-0.175
Aromatic,Z56857923,2.945,0.631,0.373,0.077,-0.905,0.418
LumpedHydrophobe,Z56857923,-2.296,0.614,1.302,,,
LumpedHydrophobe,Z56857923,-1.146,0.907,1.737,,,
