het_code,smiles,protonated_smiles,ph,n_pka_sites,pka_values,method
JDR,CSc1nc(c(c(n1)Cl)C=O)NCc2ccc(cc2)S(=O)(=O)N,CSc1nc(Cl)c(C=O)c(NCc2ccc(S(N)(=O)=O)cc2)n1,7.4,5,3.06;3.59;6.36;8.44;9.04,pkasolver
JR3,CC12C3([Ir]1456(C2(C4(C53C)C)C)([N]7=CC=C(C=C7C(=O)N6CC(=O)Nc8ccc(cc8)S(=O)(=O)N)O)Cl)C,C[C]12[C]3(C)[C]4(C)[C]5(C)[C]1(C)[Ir]23451([Cl])<-[n]2ccc([O-])cc2C(=O)[NH+]1CC(=O)Nc1ccc(S([NH-])(=O)=O)cc1,7.4,6,3.00;3.77;6.21;7.11;7.33;7.70,pkasolver
JR8,CC12C3([Ir]1456(C2(C4(C53C)C)C)[N]7=CC=C(C=C7C(=O)[N]6(CCCc8ccc(cc8)S(=O)(=O)N)Cl)O)C,C[C]12[C]3(C)[C]4(C)[C]5(C)[C]1(C)[Ir]23451<-[n]2ccc(O)cc2C(=O)[N]->1(Cl)CCCc1ccc(S(N)(=O)=O)cc1,7.4,0,,pkasolver:no_ionizable
JS7,COc1c(c(ncn1)NCCc2ccc(cc2)S(=O)(=O)N)[N+](=O)[O-],COc1ncnc(NCCc2ccc(S(N)(=O)=O)cc2)c1[N+](=O)[O-],7.4,5,2.97;3.62;6.85;8.73;9.13,pkasolver
JTW,c1ccc(cc1)S(=O)(=O)c2cc(c(cc2C(=O)NCCO)S(=O)(=O)N)Cl,NS(=O)(=O)c1cc(C(=O)NCCO)c(S(=O)(=O)c2ccccc2)cc1Cl,7.4,5,3.26;6.43;8.48;8.58;8.64,pkasolver
K1W,c1ccc(cc1)C[C@@H]2CNCCN2C(=O)c3ccc(cc3)S(=O)(=O)N,NS(=O)(=O)c1ccc(C(=O)[NH+]2CC[NH2+]C[C@H]2Cc2ccccc2)cc1,7.4,4,4.85;6.62;8.41;8.86,pkasolver
K45,CN1CCN(C[C@@H]1Cc2ccccc2)C(=O)c3ccc(cc3)S(=O)(=O)N,C[NH+]1CC[NH+](C(=O)c2ccc(S(N)(=O)=O)cc2)C[C@@H]1Cc1ccccc1,7.4,4,5.24;6.90;7.85;9.35,pkasolver
K4B,c1ccc(cc1)CN2CCN(C2)C(=O)c3ccc(cc3)S(=O)(=O)N,NS(=O)(=O)c1ccc(C(=O)[NH+]2CC[NH+](Cc3ccccc3)C2)cc1,7.4,4,4.46;5.65;6.57;9.16,pkasolver
K4H,c1ccc(cc1)CN2CCCN(CC2)C(=O)c3ccc(cc3)S(=O)(=O)N,NS(=O)(=O)c1ccc(C(=O)[NH+]2CCC[NH+](Cc3ccccc3)CC2)cc1,7.4,4,5.52;7.01;8.03;9.23,pkasolver
K4N,c1cc(ccc1O)S(=O)(=O)N,NS(=O)(=O)c1ccc(O)cc1,7.4,3,6.82;9.69;10.21,pkasolver
K5W,c1cc(c(c(c1)S(=O)(=O)N)F)F,NS(=O)(=O)c1cccc(F)c1F,7.4,2,6.43;8.96,pkasolver
K7P,c1cc(ccc1S[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)S(=O)(=O)N,NS(=O)(=O)c1ccc(S[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1,7.4,4,6.72;9.16;9.59;9.81,pkasolver
KBB,c1cc(c(cc1F)S(=O)(=O)N)F,NS(=O)(=O)c1cc(F)ccc1F,7.4,2,6.50;8.98,pkasolver
KBZ,c1cc(ccc1C#N)S(=O)(=O)N,N#Cc1ccc(S(N)(=O)=O)cc1,7.4,2,6.22;8.97,pkasolver
KCS,C(=S)(S)S,S=C([S-])[S-],7.4,2,2.37;3.42,pkasolver
KFH,c1c(c(c(c(c1F)F)S(=O)(=O)N)F)F,NS(=O)(=O)c1c(F)c(F)cc(F)c1F,7.4,2,6.03;8.27,pkasolver
KGK,Cc1c(c(c(c(c1F)F)S(=O)(=O)N)F)F,Cc1c(F)c(F)c(S(N)(=O)=O)c(F)c1F,7.4,2,5.69;7.91,pkasolver
KJ5,CCc1c(c(c(c(c1F)F)S(=O)(=O)N)F)F,CCc1c(F)c(F)c(S(N)(=O)=O)c(F)c1F,7.4,2,5.96;8.03,pkasolver
KKE,[B+]1(c2cc(ccc2CO1)NC(=S)Nc3ccccc3)(O)O,[B+]1(c2cc(ccc2CO1)NC(=S)Nc3ccccc3)(O)O,7.4,0,,fallback:unparseable
KKH,B1(c2cc(ccc2CO1)NC(=O)Nc3ccccc3)(O)O,B1(c2cc(ccc2CO1)NC(=O)Nc3ccccc3)(O)O,7.4,0,,fallback:unparseable
KL5,[B-]1(c2cc(ccc2CO1)NC(=S)NCc3ccccc3)(O)O,O[B-]1(O)OCc2ccc(NC(=S)NCc3ccccc3)cc21,7.4,3,3.85;5.89;10.52,pkasolver
KLT,c1ccc2c(c1)C(=O)N[C@@]2(c3ccc(c(c3)S(=O)(=O)N)Cl)O,NS(=O)(=O)c1cc([C@@]2(O)NC(=O)c3ccccc32)ccc1Cl,7.4,5,3.19;5.98;8.20;9.55;10.51,pkasolver
KPQ,C(C(C(F)(F)S(=O)(=O)N)(F)F)(C(F)(F)F)(F)F,[NH-]S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,7.4,2,6.06;7.02,pkasolver
