target,het,ligand_name,in_chembl,representative_pdb,pubmed_id,doi,citation_title
nachr_a4b2,09Q,"1-(5-phenylpyridin-3-yl)-1,4-diazepane",yes,3U8L,22170047,10.1074/jbc.M111.292243,Intersubunit bridge formation governs agonist efficacy at nicotinic acetylcholine alpha 4 beta 2 receptors: unique role of halogen bonding revealed.
nachr_a4b2,09R,"1-(6-bromopyridin-3-yl)-1,4-diazepane",yes,3U8M,22170047,10.1074/jbc.M111.292243,Intersubunit bridge formation governs agonist efficacy at nicotinic acetylcholine alpha 4 beta 2 receptors: unique role of halogen bonding revealed.
nachr_a4b2,09S,"1-(6-bromo-5-ethoxypyridin-3-yl)-1,4-diazepane",yes,3U8N,22170047,10.1074/jbc.M111.292243,Intersubunit bridge formation governs agonist efficacy at nicotinic acetylcholine alpha 4 beta 2 receptors: unique role of halogen bonding revealed.
nachr_a4b2,0VC,"3-[(2S)-azetidin-2-ylmethoxy]-5-[(1S,2R)-2-(2-methoxyethyl)cyclopropyl]pyridine",yes,4FRR,,,"X-ray structure of Acetylcholine binding protein from Aplysia californica in presence of 3-((S)-azetidin-2-ylmethoxy)-5-((1S,2R)-2-(2-methoxyethyl)cyclopropyl)pyridine"
nachr_a4b2,4P0,"1-[(1R,6R)-9-azabicyclo[4.2.1]non-2-en-2-yl]ethanone",yes,4ZJS,19890000,10.1523/JNEUROSCI.2833-09.2009,"Main immunogenic region structure promotes binding of conformation-dependent myasthenia gravis autoantibodies, nicotinic acetylcholine receptor conformation maturation, and agonist sensitivity."
nachr_a4b2,4P7,"(3E)-3-(1H-pyrrol-3-ylmethylidene)-3,4,5,6-tetrahydro-2,3'-bipyridine",yes,4ZK1,,,Crystal Structure of Lymnaea stagnalis Acetylcholine-Binding Protein (LsAChBP) in Complex with 3-Pyrrolylmethylene Anabaseine
nachr_a4b2,4QW,"3-{(4E)-4-[(1-methyl-1H-imidazol-5-yl)methylidene]-3,4-dihydro-2H-pyrrol-5-yl}pyridine",no,4ZR6,,,Structure-guided design and analysis of arylidene anabaseines and myosmines
nachr_a4b2,4VU,(2R)-2-(pyridin-3-yl)-1-azabicyclo[2.2.2]octane,no,5BW2,,,Comparisons of Binding Affinities for Neuronal Nicotinic Receptors (NNRs) and AChBPs
nachr_a4b2,7II,Sulfoxaflor,no,7PD6,34986308,10.1021/acs.jmedchem.1c01767,"Structural Biology-Guided Design, Synthesis, and Biological Evaluation of Novel Insect Nicotinic Acetylcholine Receptor Orthosteric Modulators."
nachr_a4b2,7LB,"(E,2S)-N-methyl-5-(5-phenoxy-3-pyridyl)pent-4-en-2-amine",no,5TVC,,,"Crystal structure of a chimeric acetylcholine binding protein from Aplysia californica (Ac-AChBP) containing loop C from the human alpha 3 nicotinic acetylcholine receptor in complex with (E,2S)-N-methyl-5-(5-phenoxy-3-pyridyl)pent-4-en-2-amine (TI-5312)"
